icao24,callsign,origin_country,longitude,latitude,baro_altitude,velocity,heading,vertical_rate,geo_altitude,speed_diff,alt_diff,movement
a48ac4,FFT4872 ,United States,-81.4363,30.959,11277.6,222.24,0.0,0.0,11658.6,-13.549999999999983,-83.81999999999971,1
a48ae7,ASA810  ,United States,-156.7143,21.7675,8183.88,236.72,56.79,5.2,8618.22,14.47999999999999,-3040.380000000001,1
a48d94,N3927R  ,United States,-116.9536,32.5843,365.76,42.42,157.17,-1.95,388.62,-194.3,-8229.599999999999,1
a48e46,DAL935  ,United States,-92.4379,42.563,10363.2,186.77,269.05,0.0,10393.68,144.35000000000002,10005.06,1
a48e7b,FFT9493 ,United States,-75.5494,37.9303,11582.4,217.74,214.22,0.0,11780.52,30.97,1386.8400000000001,1
a48ecb,N393JW  ,United States,-104.4201,33.626,2499.36,104.77,161.39,-8.13,2552.7,-112.97000000000001,-9227.82,1
a48f33,,United States,-120.3184,37.7228,1196.34,67.0,266.48,-0.33,1219.2,-37.769999999999996,-1333.4999999999998,1
a48f8c,N393SP  ,United States,-82.1868,27.4157,944.88,41.39,145.12,-1.63,1005.84,-25.61,-213.36,1
a491e5,N394CP  ,United States,-84.5576,34.3617,1691.64,77.85,266.21,-0.33,1790.7,36.459999999999994,784.86,1
a492b9,N394MA  ,United States,-83.89,34.2173,670.56,54.74,40.43,-2.93,777.24,-23.109999999999992,-1013.46,1
a49314,EJA394  ,United States,-120.0662,46.3558,12702.54,189.31,309.49,-7.15,12679.68,134.57,11902.44,1
a4943e,UAL355  ,United States,-90.0425,37.6043,10058.4,259.92,102.11,0.0,10309.86,70.61000000000001,-2369.8199999999997,1
a4943f,UAL1330 ,United States,-121.322,47.8624,5311.14,146.2,275.25,-8.78,5311.14,-113.72000000000003,-4998.72,1
a49466,N3943   ,United States,-121.5769,38.4404,853.44,52.67,257.59,-1.63,868.68,-93.52999999999999,-4442.46,1
a49510,UAL1689 ,United States,-80.0263,38.5738,9753.6,196.92,257.02,0.0,9944.1,144.25,9075.42,1
a49524,N3948Q  ,United States,-121.1164,38.7858,975.36,46.03,205.13,0.0,1013.46,-150.89,-8930.64,1
a4955d,WSN1    ,United States,-107.7707,33.1138,4526.28,131.26,202.34,-5.85,4678.68,85.22999999999999,3665.2200000000003,1
a495b4,DAL2042 ,United States,-75.1737,38.7092,10058.4,229.67,25.19,0.0,10218.42,98.41,5539.74,1
a495bf,DAL946  ,United States,-82.7846,29.2733,10363.2,227.97,324.55,0.33,10744.2,-1.6999999999999886,525.7800000000007,1
a496cb,N395QS  ,United States,-80.1107,26.6833,-22.86,55.11,92.68,-2.93,53.34,-172.86,-10690.86,1
a4995f,DAL1398 ,United States,-85.4117,34.6914,11582.4,219.02,231.68,0.0,11902.44,163.91000000000003,11849.1,1
a4996b,DAL2564 ,United States,-80.8338,31.6185,10355.58,233.13,208.04,0.0,10721.34,14.109999999999985,-1181.1000000000004,1
a49997,N396FG  ,United States,-76.1061,40.3821,1539.24,62.93,261.54,10.73,1600.2,-170.2,-9121.14,1
a499a0,FFT4170 ,United States,-77.7163,35.2012,10309.86,240.1,31.95,-4.88,10614.66,177.17,9014.46,1
a499a9,CXK630  ,United States,-78.6095,35.7341,891.54,45.0,300.96,0.65,982.98,-195.1,-9631.68,1
